productId,group,name,cleanName,url,subTypeName,lowPrice,midPrice,marketPrice
551447,Secret Lair Drop Series,Secret Lair Drop: Outlaw Anthology Vol. 1: Rebellious Renegades - Rainbow Foil Edition,Secret Lair Drop Outlaw Anthology Vol 1 Rebellious Renegades Rainbow Foil Edition,https://www.tcgplayer.com/product/551447/magic-secret-lair-drop-series-secret-lair-drop-outlaw-anthology-vol-1-rebellious-renegades-rainbow-foil-edition,Normal,35.0,59.47,38.86
551448,Secret Lair Drop Series,Secret Lair Drop: Outlaw Anthology Vol. 1: Rebellious Renegades - Non-Foil Edition,Secret Lair Drop Outlaw Anthology Vol 1 Rebellious Renegades Non Foil Edition,https://www.tcgplayer.com/product/551448/magic-secret-lair-drop-series-secret-lair-drop-outlaw-anthology-vol-1-rebellious-renegades-non-foil-edition,Normal,38.0,49.99,39.94
551449,Secret Lair Drop Series,Secret Lair Drop: Outlaw Anthology Vol. 2: Sinister Scoundrels - Rainbow Foil Edition,Secret Lair Drop Outlaw Anthology Vol 2 Sinister Scoundrels Rainbow Foil Edition,https://www.tcgplayer.com/product/551449/magic-secret-lair-drop-series-secret-lair-drop-outlaw-anthology-vol-2-sinister-scoundrels-rainbow-foil-edition,Normal,50.0,69.99,58.35
551450,Secret Lair Drop Series,Secret Lair Drop: Outlaw Anthology Vol. 2: Sinister Scoundrels - Non-Foil Edition,Secret Lair Drop Outlaw Anthology Vol 2 Sinister Scoundrels Non Foil Edition,https://www.tcgplayer.com/product/551450/magic-secret-lair-drop-series-secret-lair-drop-outlaw-anthology-vol-2-sinister-scoundrels-non-foil-edition,Normal,49.95,59.5,47.81
551451,Secret Lair Drop Series,Secret Lair Drop: Poker Faces - Rainbow Foil Edition,Secret Lair Drop Poker Faces Rainbow Foil Edition,https://www.tcgplayer.com/product/551451/magic-secret-lair-drop-series-secret-lair-drop-poker-faces-rainbow-foil-edition,Normal,46.95,60.0,40.45
551455,Secret Lair Drop Series,Seedborn Muse (Rainbow Foil),Seedborn Muse Rainbow Foil,https://www.tcgplayer.com/product/551455/magic-secret-lair-drop-series-seedborn-muse-rainbow-foil,Foil,82.78,99.0,87.58
554585,Secret Lair Drop Series,Elvish Mystic (0805) (Rainbow Foil),Elvish Mystic 0805 Rainbow Foil,https://www.tcgplayer.com/product/554585/magic-secret-lair-drop-series-elvish-mystic-0805-rainbow-foil,Foil,64.99,71.6,46.4
554652,Secret Lair Drop Series,"Elesh Norn, Grand Cenobite (0811) (Rainbow Foil)",Elesh Norn Grand Cenobite 0811 Rainbow Foil,https://www.tcgplayer.com/product/554652/magic-secret-lair-drop-series-elesh-norn-grand-cenobite-0811-rainbow-foil,Foil,684.99,690.38,643.43
554686,Secret Lair Drop Series,Evolution Sage (Extended Art),Evolution Sage Extended Art,https://www.tcgplayer.com/product/554686/magic-secret-lair-drop-series-evolution-sage-extended-art,Foil,38.44,59.98,38.44
554987,Secret Lair Drop Series,Secret Lair Drop: Secret Lair Promo: Seedborn Muse - Rainbow Foil Edition,Secret Lair Drop Secret Lair Promo Seedborn Muse Rainbow Foil Edition,https://www.tcgplayer.com/product/554987/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-promo-seedborn-muse-rainbow-foil-edition,Normal,76.75,91.97,52.74
555443,Secret Lair Drop Series,"Miku, Child of Song - Child of Alara",Miku Child of Song Child of Alara,https://www.tcgplayer.com/product/555443/magic-secret-lair-drop-series-miku-child-of-song-child-of-alara,Normal,41.91,47.39,43.77
555444,Secret Lair Drop Series,"Miku, Child of Song - Child of Alara (Rainbow Foil)",Miku Child of Song Child of Alara Rainbow Foil,https://www.tcgplayer.com/product/555444/magic-secret-lair-drop-series-miku-child-of-song-child-of-alara-rainbow-foil,Foil,45.39,56.0,46.57
555447,Secret Lair Drop Series,Sol Ring (1604),Sol Ring 1604,https://www.tcgplayer.com/product/555447/magic-secret-lair-drop-series-sol-ring-1604,Normal,47.0,54.99,49.97
555449,Secret Lair Drop Series,Sol Ring (1604) (Rainbow Foil),Sol Ring 1604 Rainbow Foil,https://www.tcgplayer.com/product/555449/magic-secret-lair-drop-series-sol-ring-1604-rainbow-foil,Foil,69.99,79.99,62.45
555682,Secret Lair Drop Series,Dictate of Erebos (Rainbow Foil),Dictate of Erebos Rainbow Foil,https://www.tcgplayer.com/product/555682/magic-secret-lair-drop-series-dictate-of-erebos-rainbow-foil,Foil,35.51,39.99,37.47
556788,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Hatsune Miku: Digital Sensation EN - Rainbow Foil Edition,Secret Lair Drop Secret Lair x Hatsune Miku Digital Sensation EN Rainbow Foil Edition,https://www.tcgplayer.com/product/556788/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-hatsune-miku-digital-sensation-en-rainbow-foil-edition,Normal,194.99,289.98,167.76
